	Ashburn_VA3		Ashburn_VA5		Atlanta_GA		Austria_Vienna2		Brazil_Fortaleza1		Brazil_Rio_de_Janeiro		Canada_Toronto		Chicago_IL2		Chicago_IL3		Czech_Republic_Prague		Denmark_Copenhagen		Finland_Helsinki		France_Marseille		France_Marseille2		France_Paris10		Germany_Berlin		Germany_Düsseldorf1		Germany_Frankfurt2		Germany_Frankfurt5		Hong_Kong		Houston_TX		India_Bangalore1		India_Chennai		India_Hyderabad1		India_Mumbai		Italy_Milan2		Japan_Tokyo1		Japan_Tokyo3		Japan_Tokyo5		Los_Angeles_CA		Mexico_Queretaro1		Mexico_Queretaro2		Miami_FL5		Netherlands_Amsterdam2		Netherlands_Amsterdam3		New_York_NY		Norway_Oslo		Phoenix_AZ		Poland_Warsaw		Portland_OR		Salt_Lake_City_UT		San_Francisco_CA		San_Jose_CA5		Singapore		South_Korea_Seoul1		South_Korea_Seoul3		Sweden_Stockholm		Sydney1		Sydney2		Taiwan_Taipei1		Taiwan_Taipei3		Thailand_Bangkok		UK_London3		UK_London4		Brazil_Sao_Paulo		Canada_Quebec		Dallas_TX		Denver_Co		Seattle_WA		Spain_Madrid	
Kansas_City	2707.063	Kansas_City	2687.985	Saint_Louis	2919.094	Paris	1479.464	Dallas	8830.756	San_Jose	11534.502	Atlanta	3189.799	Mexico	3023.791	Salt_Lake_City	2902.662	Warsaw	1200.34	Zurich	1517.466	Amsterdam	1859.893	Amsterdam	1960.891	Amsterdam	1941.028	Nicosia	1654.143	Paris	1404.957	Helsinki	1221.515	Helsinki	1224.591	Helsinki	1271.642	Seoul	10697.307	Salt_Lake_City	3230.07	Vienna	12562.863	Nicosia	10039.249	Milan	10314.936	Perth	8928.016	Athens	1560.553	Chicago	9278.303	Perth	10091.468	Vancouver	10006.009	Chicago	3612.008	Charlotte	5467.559	Charlotte	5463.863	Mexico	3463.343	Bratislava	1404.96	Oslo	1504.089	Kansas_City	2841.377	Sofia	2025.891	Mexico	3304.807	Paris	2041.533	Saint_Louis	4146.555	Denver	3378.718	Saint_Louis	4098.516	Saint_Louis	4064.689	Sydney	8312.953	Perth	12600.517	Perth	12603.408	Brussels	1865.273	Vancouver	15867.022	Vancouver	15851.928	Perth	8323.161	Perth	8457.432	Vilnius	12742.043	Helsinki	1696.711	Copenhagen	1698.884	Manassas	11016.708	Buffalo	3030.318	New_York	2689.072	Denver	2838.932	Atlanta	4277.52	Dublin	2614.658	
Buffalo	2877.605	Buffalo	2785.871	Toronto	2927.976	Vilnius	1514.136	Phoenix	9142.54	New_York	11868.473	Buffalo	3303.549	Salt_Lake_City	3026.121	Mexico	3010.152	Helsinki	1232.77	Paris	1557.918	Zurich	2065.349	Vilnius	2168.446	Prague	2157.987	Warsaw	1796.196	Vilnius	1502.904	Warsaw	1287.368	Marseille	1254.297	Copenhagen	1285.507	Sydney	11127.388	Montreal	3291.12	Vilnius	13575.402	Vilnius	10106.957	Sofia	10570.428	Taipei	8995.61	Prague	1623.814	Vancouver	10028.009	Salt_Lake_City	10603.441	Perth	10150.313	Charlotte	3842.932	Toronto	5526.761	Toronto	5518.819	San_Jose	3693.42	Helsinki	1494.454	Warsaw	1551.445	Dallas	2937.482	Paris	2044.74	Saint_Louis	3640.337	Brussels	2105.449	Mexico	4510.367	Mexico	3384.075	Mexico	4141.845	Mexico	5114.598	Nicosia	8958.638	Seattle	14172.499	Charlotte	14273.221	Paris	2267.643	Vilnius	17210.775	Seattle	16749.367	Vancouver	12258.034	Vancouver	12259.399	Sydney	13369.83	Bratislava	1826.249	Bratislava	1725.84	Atlanta	11033.395	Miami	3082.14	Manassas	2707.762	Seattle	3012.225	New_York	4573.222	Vilnius	2827.592	
Mexico	3373.474	Mexico	3344.306	Phoenix	3216.796	Brussels	1546.209	Denver	9391.603	Phoenix	11875.899	Salt_Lake_City	4008.257	Buffalo	3071.753	Atlanta	3012.709	Marseille	1251.634	Prague	1732.33	Paris	2259.934	Lisbon	2235.637	Vilnius	2167.611	Copenhagen	1813.265	Stockholm	1559.577	Vilnius	1376.124	Prague	1296.555	Ljubljana	1293.562	Paris	11841.261	Los_Angeles	3305.607	Warsaw	13690.189	Vienna	10355.928	Vilnius	10899.223	Sofia	9235.844	Madrid	1775.369	Perth	10091.298	Saint_Louis	10778.155	Salt_Lake_City	10579.752	Saint_Louis	4099.33	Salt_Lake_City	5640.281	Salt_Lake_City	5642.096	Phoenix	3984.614	Prague	1521.255	Marseille	1594.107	Mexico	3628.833	Belgrade	2107.885	Miami	3652.55	Berlin	2258.114	Miami	5453.018	Charlotte	3854.983	Miami	5102.745	Miami	5219.198	Vilnius	10110.738	Vancouver	14917.685	Seattle	14590.966	Zurich	2324.628	Sarajevo	17477.059	Phoenix	17267.655	Vilnius	12564.217	Vilnius	12605.254	Seoul	14055.149	Milan	1893.326	Prague	1811.636	Buffalo	11712.219	Mexico	3671.978	Toronto	3176.256	Toronto	3221.427	Mexico	4848.572	Vienna	2902.536	
Phoenix	4210.046	Phoenix	3816.561	Salt_Lake_City	3949.035	Copenhagen	1577.999	Buenos_Aires	9553.575	Denver	11984.818	Mexico	4201.803	Miami	3228.999	Buffalo	3173.713	Prague	1257.881	Milan	1971.807	Prague	2415.813	Prague	2236.314	Lisbon	2235.567	Vilnius	1830.809	Vienna	1859.811	Marseille	1488.773	Nicosia	1398.402	Marseille	1459.327	Vancouver	12466.544	New_York	3574.357	Seoul	14986.185	Amsterdam	11086.139	Bratislava	10914.823	Tirana	9852.026	Warsaw	1796.598	Salt_Lake_City	10600.156	Kansas_City	11029.107	Kansas_City	11007.875	Miami	4517.437	Seattle	5704.334	Seattle	5702.527	Toronto	4006.308	Oslo	1565.992	Prague	1662.162	Paris	4653.338	Nicosia	2300.037	Denver	4003.56	Nicosia	2287.494	Toronto	5871.01	Montreal	3874.573	Toronto	5570.526	Montreal	5433.085	Paris	10268.047	Vilnius	15281.044	Vancouver	14920.415	Prague	2346.625	Denver	17605.904	Vilnius	17275.055	Saint_Louis	12589.108	Sydney	12714.098	Warsaw	14624.899	Prague	1927.902	Warsaw	1821.85	Kansas_City	11726.143	Salt_Lake_City	4606.531	San_Francisco	3234.68	Phoenix	3467.189	Los_Angeles	4874.489	Skopje	2956.909	
Paris	5024.33	Salt_Lake_City	4784.197	Buffalo	3973.864	Marseille	1624.18	Buffalo	9968.597	Kansas_City	12313.635	Phoenix	4211.145	Phoenix	3454.787	Seattle	3325.584	Nicosia	1523.589	Bratislava	2021.332	Berlin	2604.478	Tel_Aviv	2355.484	Warsaw	2259.179	Dublin	1872.855	Nicosia	1873.823	Nicosia	1512.674	Warsaw	1470.456	Warsaw	1558.693	Vienna	12509.164	Toronto	3883.699	Sydney	15070.089	Tirana	11183.042	Bucharest	11014.762	Prague	9873.186	Copenhagen	1863.555	Saint_Louis	10778.229	Miami	11890.493	Saint_Louis	11181.412	Manassas	5038.748	Saint_Louis	5787.042	Saint_Louis	5731.157	Buffalo	4842.569	Marseille	1577.034	Vilnius	1733.5	Salt_Lake_City	4667.049	Milan	2520.622	Manassas	4567.239	Amsterdam	2370.399	Montreal	5966.135	Miami	4136.151	Montreal	5640.687	New_York	5769.662	Zurich	10444.561	Saint_Louis	16381.851	Vilnius	15359.781	Bratislava	2623.709	Seattle	17737.364	Sarajevo	17625.481	Sydney	12804.07	Saint_Louis	13051.062	Skopje	14824.743	Vilnius	1933.568	Milan	1895.85	Dallas	12280.726	Seattle	4808.169	Montreal	3256.757	New_York	3684.823	Charlotte	4884.564	Copenhagen	3026.227	
Salt_Lake_City	5037.858	Paris	4900.604	Seattle	4779.417	Amsterdam	1630.181	Toronto	10615.703	Dallas	12313.649	Seattle	4323.558	Seattle	3516.475	Phoenix	3459.732	Oslo	1696.746	Vienna	2166.145	Milan	2666.069	Warsaw	2530.216	Tel_Aviv	2347.361	Prague	1992.93	Milan	1970.861	Oslo	1694.834	Oslo	1695.344	Vienna	1588.373	Warsaw	12514.871	Denver	4277.482	Milan	15148.028	Sydney	11284.749	Prague	11302.978	Vilnius	10204.934	Bucharest	2113.775	Kansas_City	11033.107	Seattle	12263.356	Sydney	12176.161	Montreal	5253.715	Vancouver	5827.211	Vancouver	5814.204	Salt_Lake_City	5344.084	Ljubljana	1734.783	Stockholm	1742.007	Phoenix	4713.185	Prague	2656.995	Atlanta	4593.374	Milan	2458.232	New_York	6142.755	Toronto	4409.71	Charlotte	5656.829	Manassas	6214.252	Auckland	10806.687	Paris	16509.34	Kansas_City	16644.166	Vienna	2780.875	Paris	17877.845	Denver	17987.593	Seattle	13456.462	Oslo	13628.287	Vienna	14837.112	Warsaw	2000.854	Helsinki	1947.068	Denver	12290.682	San_Francisco	4962.903	Denver	3862.752	Miami	3856.115	Montreal	4945.235	Zagreb	3094.7	
Seattle	5465.524	Seattle	5344.784	Los_Angeles	4903.492	Bucharest	1635.833	Mexico	10688.936	Atlanta	12378.538	Vancouver	4942.427	Vancouver	4250.657	Vancouver	4253.467	Stockholm	1815.138	Ljubljana	2197.89	Bratislava	2741.553	Copenhagen	2531.923	Helsinki	2493.716	Vienna	2013.067	Athens	2159.865	Stockholm	1752.492	Stockholm	1815.536	Steinsel	1610.213	Seattle	13194.636	San_Francisco	4281.119	Zurich	15357.607	Prague	11521.804	Tirana	11421.622	Bucharest	10467.8	Vilnius	2219.881	Charlotte	12276.481	New_York	12627.635	Charlotte	12178.712	Atlanta	5607.333	Miami	6172.87	Miami	6205.708	Seattle	5715.725	Steinsel	1775.261	Steinsel	1785.568	Seattle	5199.298	Berlin	2744.557	Montreal	4847.208	Prague	2492.672	Charlotte	6231.55	Manassas	5058.439	Manassas	6136.812	Toronto	6231.639	Vienna	10891.143	Chicago	16602.472	Saint_Louis	16677.558	Milan	2785.013	Charlotte	17914.431	Paris	18029.881	Salt_Lake_City	13639.332	Seattle	13649.003	Oslo	14999.008	Steinsel	2196.951	Madrid	2158.919	Toronto	12426.298	Phoenix	5022.997	Seattle	3902.027	Montreal	3864.877	Toronto	4970.635	Warsaw	3252.099	
San_Jose	5477.063	Nicosia	5418.13	San_Francisco	5268.364	Nicosia	1646.122	Nicosia	10949.507	Buffalo	12393.442	Paris	5527.558	Los_Angeles	4466.102	Denver	4865.474	Steinsel	1914.748	Nicosia	2296.539	Vienna	2746.806	Vienna	2558.243	Copenhagen	2530.912	Oslo	2048.081	Marseille	2174.188	Vienna	1763.968	Steinsel	1913.511	Oslo	1617.822	Zurich	13406.287	Vancouver	4492.086	Sofia	15552.114	Sofia	11543.741	Skopje	11566.797	Bratislava	10736.183	Helsinki	2307.678	New_York	12620.628	Charlotte	12722.102	Seattle	12271.211	New_York	5658.072	Denver	6351.937	Denver	6357.505	Los_Angeles	5847.937	Stockholm	1828.477	Dublin	1827.314	Nicosia	5397.868	Marseille	2800.084	New_York	5149.513	Athens	2718.597	Manassas	7132.532	Atlanta	5171.727	New_York	6425.797	Charlotte	6473.44	Amsterdam	10940.224	Kansas_City	16670.475	Salt_Lake_City	16947.817	Nicosia	2999.178	Mexico	18239.839	Mexico	18230.318	Kansas_City	14109.035	Salt_Lake_City	13676.594	Zurich	15164.403	Vienna	2197.032	Ljubljana	2213.426	Paris	13432.731	Denver	5110.751	Vancouver	4300.195	Buffalo	4154.756	Manassas	5447.047	Tirana	3257.689	
Nicosia	5670.313	San_Jose	5458.546	Denver	5268.628	Chisinau	1801.869	Paris	11125.059	Paris	12455.818	Denver	5690.245	Denver	4823.056	San_Francisco	5102.526	Madrid	1924.764	Marseille	2445.002	Nicosia	2833.046	Athens	2629.336	Vienna	2672.359	Ljubljana	2132.681	Sarajevo	2294.008	Steinsel	1845.142	Madrid	1919.734	Berlin	1620.758	Madrid	13569.01	Seattle	4522.854	Bucharest	16185.779	Milan	11673.328	Frankfurt	11870.472	Brussels	10954.799	Vienna	2317.396	Miami	13079.656	San_Francisco	14101.837	New_York	12672.531	Toronto	6089.34	Buffalo	6516.198	Buffalo	6529.985	Denver	5901.968	Dublin	1871.47	Milan	1870.61	Vilnius	5415.081	Bratislava	2832.785	Toronto	5249.856	Vienna	2783.823	Atlanta	7370.462	New_York	5924.505	Atlanta	6847.157	Atlanta	6561.963	Marseille	11138.936	Salt_Lake_City	16942.284	Amsterdam	17274.985	Riga	3048.541	Warsaw	18308.287	Hanoi	18302.085	Charlotte	14199.554	Amsterdam	13974.315	Marseille	15235.215	Oslo	2203.89	Vienna	2229.333	Nicosia	13538.088	Vancouver	5279.078	Buffalo	4360.267	Manassas	4409.96	Miami	5531.92	Chisinau	3294.617	
Vancouver	5762.097	Amsterdam	5642.315	Vancouver	5394.534	Zagreb	1828.221	Vilnius	11134.657	Nicosia	13105.241	San_Francisco	5880.53	San_Francisco	5008.796	Los_Angeles	5176.273	Berlin	1945.455	Tallinn	2463.167	Ljubljana	2915.855	Helsinki	2670.875	Dublin	2736.356	Stockholm	2255.318	Bucharest	2308.417	Ljubljana	2022.805	Vienna	2025.327	Madrid	1953.424	Amsterdam	13644.903	Buffalo	5002.175	Amsterdam	16421.111	Berlin	11779.674	Brussels	11893.804	Belgrade	11150.042	Oslo	2485.48	Vilnius	13937.116	Vilnius	14241.166	Miami	12756.14	Buffalo	7225.146	Atlanta	7408.388	Atlanta	7430.189	San_Francisco	6272.021	Vienna	2016.839	Madrid	1894.276	Vancouver	5551.258	Vienna	2900.473	Buffalo	6373.257	Steinsel	2885.246	Buffalo	8245.73	Buffalo	6305.082	Buffalo	7862.585	Buffalo	8055.824	Oslo	11311.047	Vienna	16943.9	Paris	17399.658	Marseille	3072.151	Hanoi	18435.983	Charlotte	18366.961	Zurich	14256.383	Chicago	14028.447	Amsterdam	15398.021	Madrid	2229.12	Oslo	2355.044	Amsterdam	13670.672	London	5813.208	Los_Angeles	5449.543	Los_Angeles	5794.439	Buffalo	5876.107	Sarajevo	3381.398	
